timestamp,scintillator,rate_per_min,total_hits
2026-06-10T15:10:00+00:00,Scintillator 1,0.0,0
2026-06-10T15:10:00+00:00,Scintillator 2,1.0169,1
2026-06-10T15:10:00+00:00,Scintillator 3,1.0169,1
2026-06-10T15:10:00+00:00,Scintillator 4,1.0169,1
2026-06-10T17:20:00+00:00,Scintillator 1,835.9,8359
2026-06-10T17:20:00+00:00,Scintillator 2,791.0,7911
2026-06-10T17:20:00+00:00,Scintillator 3,768.6,7687
2026-06-10T17:20:00+00:00,Scintillator 4,690.3,6904
2026-06-10T17:30:00+00:00,Scintillator 1,1387.8,22237
2026-06-10T17:30:00+00:00,Scintillator 2,1299.0,20901
2026-06-10T17:30:00+00:00,Scintillator 3,1272.0,20407
2026-06-10T17:30:00+00:00,Scintillator 4,1132.9,18233
2026-06-10T17:40:00+00:00,Scintillator 1,1394.7,36184
2026-06-10T17:40:00+00:00,Scintillator 2,1302.8,33929
2026-06-10T17:40:00+00:00,Scintillator 3,1264.3,33050
2026-06-10T17:40:00+00:00,Scintillator 4,1121.4,29447
2026-06-10T17:50:00+00:00,Scintillator 1,1384.1,50025
2026-06-10T17:50:00+00:00,Scintillator 2,1296.9,46898
2026-06-10T17:50:00+00:00,Scintillator 3,1261.2,45662
2026-06-10T17:50:00+00:00,Scintillator 4,1115.4,40601
2026-06-10T18:00:00+00:00,Scintillator 1,1410.1,64126
2026-06-10T18:00:00+00:00,Scintillator 2,1319.5,60093
2026-06-10T18:00:00+00:00,Scintillator 3,1285.8,58520
2026-06-10T18:00:00+00:00,Scintillator 4,1149.8,52099
2026-06-10T18:10:00+00:00,Scintillator 1,1400.6,78132
2026-06-10T18:10:00+00:00,Scintillator 2,1317.5,73268
2026-06-10T18:10:00+00:00,Scintillator 3,1287.5,71395
2026-06-10T18:10:00+00:00,Scintillator 4,1146.5,63564
2026-06-10T18:20:00+00:00,Scintillator 1,1401.4,92146
2026-06-10T18:20:00+00:00,Scintillator 2,1323.6,86504
2026-06-10T18:20:00+00:00,Scintillator 3,1286.5,84260
2026-06-10T18:20:00+00:00,Scintillator 4,1150.2,75066
2026-06-10T18:30:00+00:00,Scintillator 1,1410.4,106250
2026-06-10T18:30:00+00:00,Scintillator 2,1323.9,99743
2026-06-10T18:30:00+00:00,Scintillator 3,1288.2,97142
2026-06-10T18:30:00+00:00,Scintillator 4,1144.4,86510
2026-06-10T18:40:00+00:00,Scintillator 1,1385.9,120109
2026-06-10T18:40:00+00:00,Scintillator 2,1315.4,112897
2026-06-10T18:40:00+00:00,Scintillator 3,1278.2,109924
2026-06-10T18:40:00+00:00,Scintillator 4,1141.7,97927
2026-06-10T18:50:00+00:00,Scintillator 1,1396.5,134074
2026-06-10T18:50:00+00:00,Scintillator 2,1312.6,126023
2026-06-10T18:50:00+00:00,Scintillator 3,1285.4,122778
2026-06-10T18:50:00+00:00,Scintillator 4,1147.7,109404
2026-06-10T19:00:00+00:00,Scintillator 1,1383.7,147911
2026-06-10T19:00:00+00:00,Scintillator 2,1309.2,139115
2026-06-10T19:00:00+00:00,Scintillator 3,1272.6,135504
2026-06-10T19:00:00+00:00,Scintillator 4,1140.7,120811
2026-06-10T19:10:00+00:00,Scintillator 1,1374.3,161654
2026-06-10T19:10:00+00:00,Scintillator 2,1279.4,151909
2026-06-10T19:10:00+00:00,Scintillator 3,1256.2,148066
2026-06-10T19:10:00+00:00,Scintillator 4,1106.3,131874
2026-06-10T19:20:00+00:00,Scintillator 1,1370.0,175354
2026-06-10T19:20:00+00:00,Scintillator 2,1282.8,164737
2026-06-10T19:20:00+00:00,Scintillator 3,1255.6,160622
2026-06-10T19:20:00+00:00,Scintillator 4,1115.7,143031
2026-06-10T19:30:00+00:00,Scintillator 1,1403.6,189390
2026-06-10T19:30:00+00:00,Scintillator 2,1313.8,177875
2026-06-10T19:30:00+00:00,Scintillator 3,1283.9,173461
2026-06-10T19:30:00+00:00,Scintillator 4,1144.7,154478
