decay_time_us,counts,fit_counts
0.3225,379,383.8898
0.5675,297,348.7248
0.8125,275,316.9945
1.0575,241,288.3636
1.3025,200,262.5293
1.5475,149,239.2183
1.7925,145,218.1843
2.0375,122,199.2048
2.2825,107,182.0792
2.5275,84,166.6264
2.7725,48,152.6829
3.0175,73,140.1014
3.2625,52,128.7488
3.5075,52,118.5051
3.7525,43,109.2619
3.9975,40,100.9216
4.2425,34,93.396
4.4875,40,86.6054
4.7325,34,80.4781
4.9775,20,74.9493
5.2225,30,69.9605
5.4675,30,65.4591
5.7125,37,61.3973
5.9575,17,57.7322
6.2025,21,54.4252
6.4475,35,51.4411
6.6925,23,48.7486
6.9375,32,46.319
7.1825,21,44.1267
7.4275,31,42.1486
7.6725,19,40.3637
7.9175,20,38.7532
8.1625,33,37.2999
8.4075,21,35.9886
8.6525,18,34.8054
8.8975,15,33.7377
9.1425,25,32.7744
9.3875,30,31.9051
9.6325,23,31.1208
9.8775,26,30.413
