timestamp,multiplicity,observed_count,rate_per_min,random_expected_count
2026-06-10T15:10:00+00:00,2,0,0.0,5e-08
2026-06-10T15:10:00+00:00,3,1,1.0169,0.0
2026-06-10T15:10:00+00:00,4,0,0.0,0.0
2026-06-10T17:20:00+00:00,2,4399,439.9,0.59419242
2026-06-10T17:20:00+00:00,3,3025,302.5,5.08e-06
2026-06-10T17:20:00+00:00,4,1965,196.5,0.0
2026-06-10T17:30:00+00:00,2,7069,706.9,1.61747933
2026-06-10T17:30:00+00:00,3,5101,510.1,2.28e-05
2026-06-10T17:30:00+00:00,4,3275,327.5,0.0
2026-06-10T17:40:00+00:00,2,7139,713.9,1.61163649
2026-06-10T17:40:00+00:00,3,5199,519.9,2.266e-05
2026-06-10T17:40:00+00:00,4,3116,311.6,0.0
2026-06-10T17:50:00+00:00,2,6965,696.5,1.59550742
2026-06-10T17:50:00+00:00,3,5107,510.7,2.233e-05
2026-06-10T17:50:00+00:00,4,3234,323.4,0.0
2026-06-10T18:00:00+00:00,2,7198,719.8,1.66447087
2026-06-10T18:00:00+00:00,3,5188,518.8,2.38e-05
2026-06-10T18:00:00+00:00,4,3270,327.0,0.0
2026-06-10T18:10:00+00:00,2,7178,717.8,1.65613991
2026-06-10T18:10:00+00:00,3,5141,514.1,2.362e-05
2026-06-10T18:10:00+00:00,4,3300,330.0,0.0
2026-06-10T18:20:00+00:00,2,7296,729.6,1.66236754
2026-06-10T18:20:00+00:00,3,5209,520.9,2.376e-05
2026-06-10T18:20:00+00:00,4,3232,323.2,0.0
2026-06-10T18:30:00+00:00,2,7277,727.7,1.66541236
2026-06-10T18:30:00+00:00,3,5148,514.8,2.381e-05
2026-06-10T18:30:00+00:00,4,3288,328.8,0.0
2026-06-10T18:40:00+00:00,2,7087,708.7,1.63646533
2026-06-10T18:40:00+00:00,3,5108,510.8,2.32e-05
2026-06-10T18:40:00+00:00,4,3291,329.1,0.0
2026-06-10T18:50:00+00:00,2,7080,708.0,1.64989798
2026-06-10T18:50:00+00:00,3,5166,516.6,2.349e-05
2026-06-10T18:50:00+00:00,4,3310,331.0,0.0
2026-06-10T19:00:00+00:00,2,7314,731.4,1.62692606
2026-06-10T19:00:00+00:00,3,5107,510.7,2.3e-05
2026-06-10T19:00:00+00:00,4,3136,313.6,0.0
2026-06-10T19:10:00+00:00,2,6963,696.3,1.56949794
2026-06-10T19:10:00+00:00,3,5084,508.4,2.178e-05
2026-06-10T19:10:00+00:00,4,3121,312.1,0.0
2026-06-10T19:20:00+00:00,2,7104,710.4,1.5747499
2026-06-10T19:20:00+00:00,3,4976,497.6,2.19e-05
2026-06-10T19:20:00+00:00,4,3141,314.1,0.0
2026-06-10T19:30:00+00:00,2,7070,707.0,1.65213067
2026-06-10T19:30:00+00:00,3,5242,524.2,2.353e-05
2026-06-10T19:30:00+00:00,4,3256,325.6,0.0
2026-06-10T19:40:00+00:00,2,7166,716.6,1.64457803
